epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12036,1.39436,0.79729,1.82919,0.8722,0.96506,0.95782,0.62187,1.41036,0.63939,1.75814,0.000990365,0.000990365,0.000990365
43,12317.6,1.38538,0.79745,1.81759,0.9472,0.96988,0.95199,0.63076,1.3634,0.62965,1.72139,0.000973861,0.000973861,0.000973861
44,12600.3,1.38954,0.79269,1.82745,0.88021,0.97009,0.95927,0.60878,1.40131,0.63157,1.74913,0.000957358,0.000957358,0.000957358
45,12884.9,1.38499,0.76259,1.81464,0.94007,0.96719,0.96279,0.54478,1.51872,0.73969,1.82894,0.000940855,0.000940855,0.000940855
46,13168.2,1.37841,0.80246,1.80295,0.94002,0.97349,0.96443,0.64288,1.33961,0.63108,1.69995,0.000924352,0.000924352,0.000924352
47,13451.8,1.3796,0.8013,1.8151,0.94104,0.95988,0.96253,0.63084,1.34182,0.62614,1.6928,0.000907848,0.000907848,0.000907848
48,13733.8,1.34539,0.77477,1.77775,0.92763,0.97266,0.96897,0.63691,1.37823,0.62122,1.72887,0.000891345,0.000891345,0.000891345
49,14035.3,1.3709,0.77852,1.80475,0.84911,0.96061,0.95958,0.63753,1.35426,0.70164,1.71524,0.000874842,0.000874842,0.000874842
50,14319,1.37535,0.79982,1.82048,0.89156,0.97258,0.97003,0.62713,1.34251,0.66416,1.69481,0.000858338,0.000858338,0.000858338
51,14602.2,1.34304,0.77018,1.80522,0.92608,0.97622,0.96544,0.63776,1.36052,0.66246,1.71075,0.000841835,0.000841835,0.000841835
52,14884.5,1.338,0.78309,1.79167,0.89667,0.96279,0.94044,0.62076,1.37163,0.63181,1.73764,0.000825332,0.000825332,0.000825332
53,15165.4,1.38695,0.77742,1.8281,0.93586,0.95069,0.96069,0.63877,1.35697,0.62766,1.71053,0.000808828,0.000808828,0.000808828
54,15451.6,1.34521,0.774,1.78332,0.90874,0.97229,0.96016,0.6336,1.36693,0.64355,1.72149,0.000792325,0.000792325,0.000792325
55,15733.8,1.35776,0.75165,1.7951,0.86877,0.96755,0.97125,0.62654,1.37694,0.64867,1.73689,0.000775822,0.000775822,0.000775822
56,16041.1,1.36193,0.76383,1.79975,0.92492,0.95546,0.95578,0.6083,1.43019,0.63961,1.75109,0.000759318,0.000759318,0.000759318
57,16341.2,1.33355,0.75465,1.78074,0.95514,0.95066,0.95916,0.60981,1.38544,0.62099,1.71256,0.000742815,0.000742815,0.000742815
58,16624.2,1.35521,0.76253,1.79453,0.96946,0.94465,0.96136,0.6261,1.41763,0.60415,1.72512,0.000726312,0.000726312,0.000726312
59,16907.2,1.34499,0.75203,1.78525,0.9153,0.95425,0.95653,0.60803,1.45783,0.62185,1.80777,0.000709809,0.000709809,0.000709809
60,17189.6,1.36536,0.75751,1.80151,0.96582,0.9366,0.96649,0.60791,1.4163,0.59949,1.71668,0.000693305,0.000693305,0.000693305
61,17482.8,1.34459,0.75665,1.78777,0.90635,0.97015,0.94533,0.60884,1.36917,0.67331,1.73262,0.000676802,0.000676802,0.000676802
62,17770.9,1.34985,0.75905,1.78786,0.89451,0.97378,0.96891,0.62019,1.37695,0.64985,1.71838,0.000660299,0.000660299,0.000660299
63,18054.4,1.33304,0.74951,1.77413,0.91151,0.97011,0.96417,0.65041,1.32239,0.61118,1.68264,0.000643795,0.000643795,0.000643795
64,18336.7,1.32909,0.75599,1.77624,0.93353,0.91561,0.94797,0.62811,1.33311,0.64772,1.68124,0.000627292,0.000627292,0.000627292
65,18619.4,1.34007,0.74712,1.78807,0.92707,0.97012,0.96351,0.65152,1.35203,0.58428,1.68907,0.000610789,0.000610789,0.000610789
66,18901.6,1.33864,0.74633,1.78087,0.94333,0.97831,0.97414,0.62815,1.39038,0.63318,1.70047,0.000594286,0.000594286,0.000594286
67,19185.9,1.33804,0.74301,1.77577,0.91222,0.96783,0.95991,0.64425,1.34599,0.61645,1.69016,0.000577782,0.000577782,0.000577782
68,19468.8,1.34155,0.74103,1.77113,0.93596,0.9747,0.96336,0.64438,1.32007,0.60231,1.68303,0.000561279,0.000561279,0.000561279
69,19752.4,1.31383,0.7519,1.76436,0.94286,0.97368,0.9732,0.64601,1.33722,0.59192,1.67738,0.000544776,0.000544776,0.000544776
70,20035.2,1.35194,0.74261,1.78384,0.8905,0.96754,0.9695,0.65285,1.33983,0.59765,1.69157,0.000528272,0.000528272,0.000528272
71,20318.5,1.31588,0.74035,1.75707,0.95601,0.97987,0.97214,0.64122,1.35911,0.58278,1.68395,0.000511769,0.000511769,0.000511769
72,20601.9,1.31948,0.72156,1.76118,0.94917,0.97711,0.96998,0.64908,1.33196,0.58489,1.6766,0.000495266,0.000495266,0.000495266
73,20885.7,1.3176,0.72744,1.7689,0.94317,0.97711,0.9669,0.65333,1.3271,0.5862,1.67572,0.000478762,0.000478762,0.000478762
74,21181.8,1.31265,0.73566,1.76385,0.95345,0.9747,0.96609,0.64753,1.32436,0.58757,1.68141,0.000462259,0.000462259,0.000462259
75,21472,1.31714,0.7364,1.7634,0.93534,0.9675,0.96367,0.63328,1.34013,0.60255,1.6856,0.000445756,0.000445756,0.000445756
76,21755.9,1.32316,0.7378,1.76705,0.95504,0.97609,0.9679,0.63769,1.34655,0.58028,1.68308,0.000429253,0.000429253,0.000429253
77,22040.2,1.31433,0.73347,1.7529,0.95711,0.97608,0.97479,0.64689,1.33693,0.5921,1.68293,0.000412749,0.000412749,0.000412749
78,22324.2,1.3164,0.71721,1.76195,0.94005,0.96223,0.97205,0.65036,1.33383,0.60648,1.69178,0.000396246,0.000396246,0.000396246
79,22607.7,1.29647,0.70261,1.74318,0.94258,0.97711,0.97534,0.65107,1.3543,0.58243,1.67668,0.000379743,0.000379743,0.000379743
80,22892.9,1.30846,0.71129,1.75709,0.9377,0.97131,0.96257,0.6414,1.33637,0.58352,1.69724,0.000363239,0.000363239,0.000363239
81,23177.7,1.31121,0.71713,1.75516,0.95596,0.9759,0.96464,0.6473,1.30759,0.57986,1.66268,0.000346736,0.000346736,0.000346736
82,23460,1.29619,0.71789,1.74704,0.95268,0.97349,0.96935,0.66108,1.31023,0.5805,1.66557,0.000330233,0.000330233,0.000330233
83,23742.9,1.33415,0.71953,1.77057,0.93759,0.95915,0.96941,0.64051,1.33598,0.58998,1.68655,0.000313729,0.000313729,0.000313729
84,24027.8,1.26957,0.70308,1.72414,0.9677,0.96028,0.96836,0.65337,1.30908,0.58194,1.66301,0.000297226,0.000297226,0.000297226
85,24310.4,1.30146,0.70862,1.73763,0.93292,0.97845,0.97391,0.65567,1.34594,0.57119,1.66837,0.000280723,0.000280723,0.000280723
86,24594,1.31036,0.71429,1.74285,0.95799,0.96656,0.97059,0.65916,1.30479,0.56514,1.65439,0.00026422,0.00026422,0.00026422
87,24888.9,1.31539,0.71461,1.7639,0.9436,0.97488,0.96804,0.66281,1.31195,0.5551,1.65856,0.000247716,0.000247716,0.000247716
